date,schiphol_avg,schiphol_min,schiphol_max,rotterdam_avg,rotterdam_min,rotterdam_max
20150101,3.5,0.9,5.5,3.7,2,5.4
20150102,7.6,5.2,10.6,7.4,5,11.1
20150103,4.6,3.1,6.6,4.5,2.7,6.3
20150104,3.5,-0.9,7.9,3.3,0.2,7.5
20150105,2.9,0,3.9,3.2,1.4,4.2
20150106,3.2,0.7,6.8,3,0.2,7.1
20150107,4.2,1.1,7.3,4.4,0.8,7.3
20150108,6.8,4.2,8.7,6.9,4.3,8.3
20150109,9.8,5.9,12.4,9.8,6.4,12.5
20150110,9.2,5.2,12.3,9.2,5,12.3
20150111,6.6,4.9,8.2,6.6,5.1,8.4
20150112,9,7.7,10.7,8.6,7.2,9.8
20150113,8.3,5.2,10,8.4,5,10.1
20150114,4.4,2.1,6.2,4.8,3.6,6.3
20150115,7.7,5,10.1,8.1,5.6,10.5
20150116,5.1,2,8.4,5.2,2,7.5
20150117,2.7,-1.1,6.3,2.9,-1.5,5.8
20150118,2.5,1.2,3.6,2.5,1.5,3.5
20150119,0.2,-1.6,1.9,1,-0.2,2.4
20150120,0.6,-1.6,3.6,1.8,0.8,3.3
20150121,-0.3,-3,1.6,0.1,-2.2,1.5
20150122,-0.8,-2.8,1.3,-1.1,-3.4,0.8
20150123,-2.9,-6.3,0.7,-2.4,-5.2,-0.3
20150124,2.4,-0.8,6.9,2.8,-0.5,6.9
20150125,4.5,-0.3,6.8,4.6,0,7
20150126,6.6,3.2,8.6,6.8,4.5,8.6
20150127,5.5,2.9,7.6,5.3,2.1,8.3
20150128,5.2,2.1,7.6,5.5,3.2,7.5
20150129,3,-0.1,5.5,3.6,0.3,6.1
20150130,1.3,-2.5,4.1,2.3,-0.7,4.6
20150131,1.5,-1.9,5,2,-0.5,5.1
20150201,2.9,-1.4,6,3.8,1.3,5.9
20150202,2.5,0.5,6.2,2.7,0.8,6.1
20150203,1.3,-2,6.4,1.3,-2.1,6.4
20150204,-0.1,-4.8,6,-0.1,-4.4,5.4
20150205,-0.1,-4,2.3,-0.7,-5,2.1
20150206,0,-1.4,2.1,-0.2,-1.7,2.1
20150207,2.4,-5,6.4,1.8,-5,5.8
20150208,5.1,1.6,7.4,5.1,1.8,7.2
20150209,5.9,4,7.2,5.3,2.8,7.2
20150210,5.8,3.6,7.2,5.8,4.5,7.1
20150211,4.3,3.1,5.3,4.6,3.7,5.4
20150212,3.6,2.8,4.5,4.2,2.9,5.2
20150213,5.5,0.7,9.9,6.6,1.5,11.1
20150214,6.9,5.2,9.5,7.3,5,9.2
20150215,2.5,-2,7.6,3.7,-1.3,7.4
20150216,1.3,-3.6,7.3,2.2,-3.3,7.8
20150217,3.9,-1.4,8.7,4.2,-1.4,8.5
20150218,2.5,-2.8,8.6,3.1,-1.7,8.2
20150219,3.7,-1.2,8.3,4,-0.3,8
20150220,5.2,3.7,6.8,5.5,3.9,6.8
20150221,3.1,0.1,6.1,3.5,-0.2,6.1
20150222,3,-1.8,7.6,3.5,-1.1,7
20150223,6,3.2,9.1,6.2,3.6,9.3
20150224,5.5,1.7,8.9,5.8,3.6,8.8
20150225,4.2,-0.2,7.5,4.6,1.6,6.7
20150226,6.2,3.9,8.5,6.6,4.5,8.9
20150227,4.3,-0.4,7.9,4.7,0.1,8.1
20150228,5.2,-0.4,9.7,5.7,1.6,9.3
20150301,7.9,5.1,10.3,8.3,6.3,10.3
20150302,5.2,1.3,8,5.6,4.2,8
20150303,4.7,2.4,7.1,5.2,3.5,7.9
20150304,5.4,3.6,7.3,5.6,4.2,7.5
20150305,5.4,-0.3,9.6,5.4,0.3,9.3
20150306,6.4,2.4,9.6,7.3,5.2,9.1
20150307,7.7,3.6,13.6,8.4,4.9,12.8
20150308,8.2,2.3,13.9,8.9,5.8,13.6
20150309,8,2.3,11.9,8.2,1.8,12.4
20150310,7.1,0.9,10.9,7.2,-0.5,10.7
20150311,3.8,-2.8,9.9,4.3,-2.1,10.3
20150312,6.3,-1.5,13.1,6.8,-0.6,12.6
20150313,4.8,1,8.7,5,0.9,9.7
20150314,4.2,1.7,5.6,3.6,0.9,5.1
20150315,5.7,4.5,6.7,5.7,4,7.7
20150316,6.8,2.8,11.4,6.5,1,12.2
20150317,8.3,1.2,15.4,7.7,-0.6,16.2
20150318,5.5,1.9,7.5,5.6,0.8,7.4
20150319,7.7,4.5,12.7,7,3.3,11.4
20150320,4.9,1.7,8.6,4.9,1.9,9.2
20150321,6.5,4.2,10.1,6.6,4.3,9.3
20150322,4.5,1.2,8.3,4.9,1.4,7.8
20150323,3.4,-1.8,9.4,3.7,-1.2,8.4
20150324,5.4,-0.5,10.6,5.8,0.5,9.6
20150325,5.9,3.5,7.3,6,3.1,7.7
20150326,4.7,-0.3,7.9,5,0,8.3
20150327,5.9,0.6,8.7,6.2,2.1,10
20150328,7.1,0.6,10.7,8.1,2.3,11.9
20150329,8.9,6.7,11.4,9.1,7.2,10.9
20150330,7,5.7,9.1,7.3,5.8,9.3
20150331,8.5,5.5,10.7,8.8,3,11.3
20150401,6.7,3.9,9.4,6.9,3.7,9.6
20150402,6.2,4.1,9.1,5.8,1.9,8.7
20150403,7.1,4.3,9.9,6.1,0.5,8.8
20150404,5.2,1,9.7,5,1.4,8.9
20150405,5,-1.6,11.1,4.6,-1.3,10.9
20150406,7.5,2.8,12.5,6.6,1,12
20150407,6.5,1.6,11.7,6.4,0.6,12.2
20150408,8.3,5.2,14.2,7.8,1.5,14
20150409,10.5,4.5,16.3,9.7,2.7,17.8
